cloth_temp,cloth_humi,envir_temp,time,rea_time
24,38,85,1,99
24,38,85,1,99
21,62,25.31,2,98
21,62,25.31,2,98
21,62,25.31,2,98
21,62,25.31,2,98
21,62,25.31,2,98
20,71,25.31,2,98
20,71,25.31,2,98
20,71,25.31,2,98
20,71,25.31,2,98
20,71,25.31,2,98
20,70,25.25,3,97
20,70,25.25,3,97
20,70,25.25,3,97
20,70,25.25,3,97
20,70,25.25,3,97
20,70,25.25,3,97
20,70,25.25,3,97
19,75,25.25,3,97
19,75,25.25,3,97
19,75,25.25,3,97
19,75,25.25,4,96
19,75,25.25,4,96
18,85,25.25,4,96
18,85,25.25,4,96
18,83,25.25,4,96
18,83,25.25,4,96
18,83,25.25,4,96
18,83,25.25,4,96
18,83,25.25,4,96
18,83,25.25,4,96
18,81,25.25,5,95
18,81,25.25,5,95
18,87,25.25,5,95
18,87,25.25,5,95
18,85,25.25,5,95
18,85,25.25,5,95
18,85,25.25,5,95
18,85,25.25,5,95
18,84,25.25,5,95
18,84,25.25,5,95
18,84,25.18,6,94
18,84,25.18,6,94
18,90,25.18,6,94
18,90,25.18,6,94
18,87,25.18,6,94
18,87,25.18,6,94
18,86,25.18,6,94
18,86,25.18,6,94
18,86,25.18,6,94
18,86,25.18,6,94
18,86,25.18,7,93
18,86,25.18,7,93
18,92,25.18,7,93
18,92,25.18,7,93
18,90,25.18,7,93
18,90,25.18,7,93
18,87,25.18,7,93
18,87,25.18,7,93
18,87,25.18,7,93
18,87,25.18,7,93
18,87,25.12,8,92
18,87,25.12,8,92
18,92,25.12,8,92
18,92,25.12,8,92
18,90,25.12,8,92
18,90,25.12,8,92
18,90,25.12,8,92
18,90,25.12,8,92
18,90,25.12,8,92
18,90,25.12,8,92
18,90,25.12,9,91
18,90,25.12,9,91
18,92,25.12,9,91
18,92,25.12,9,91
18,92,25.12,9,91
18,92,25.12,9,91
18,90,25.12,9,91
18,90,25.12,9,91
18,90,25.12,9,91
18,90,25.12,9,91
18,90,25.12,10,90
18,90,25.12,10,90
17,93,25.12,10,90
17,93,25.12,10,90
17,92,25.12,10,90
17,92,25.12,10,90
17,92,25.12,10,90
17,92,25.12,10,90
18,90,25.12,10,90
18,90,25.12,10,90
18,90,25.12,11,89
18,90,25.12,11,89
17,93,25.12,11,89
17,93,25.12,11,89
17,92,25.12,11,89
17,92,25.12,11,89
17,92,25.12,11,89
17,92,25.12,11,89
17,92,25.12,11,89
17,92,25.12,11,89
17,92,25.12,12,88
17,92,25.12,12,88
17,93,25.12,12,88
17,93,25.12,12,88
17,92,25.12,12,88
17,92,25.12,12,88
17,92,25.12,12,88
17,92,25.12,12,88
17,92,25.12,12,88
17,92,25.12,12,88
17,92,25.18,13,87
17,92,25.18,13,87
17,93,25.18,13,87
17,93,25.18,13,87
17,92,25.18,13,87
17,92,25.18,13,87
17,92,25.18,13,87
17,92,25.18,13,87
17,92,25.18,13,87
17,92,25.18,13,87
17,92,25.18,14,86
17,92,25.18,14,86
16,94,25.18,14,86
16,94,25.18,14,86
16,93,25.18,14,86
16,93,25.18,14,86
16,93,25.18,14,86
16,93,25.18,14,86
16,93,25.18,14,86
16,93,25.18,14,86
16,93,25.18,15,85
16,93,25.18,15,85
16,94,25.18,15,85
16,94,25.18,15,85
16,93,25.18,15,85
16,93,25.18,15,85
16,93,25.18,15,85
16,93,25.18,15,85
16,93,25.18,15,85
16,93,25.18,15,85
16,93,25.25,16,84
16,93,25.25,16,84
16,94,25.25,16,84
16,94,25.25,16,84
16,94,25.25,16,84
16,94,25.25,16,84
16,93,25.25,16,84
16,93,25.25,16,84
16,93,25.25,16,84
16,93,25.25,16,84
16,93,25.25,17,83
16,93,25.25,17,83
15,94,25.25,17,83
15,94,25.25,17,83
15,94,25.25,17,83
15,94,25.25,17,83
15,94,25.25,17,83
15,94,25.25,17,83
15,94,25.25,17,83
15,94,25.25,17,83
16,93,25.25,18,82
16,93,25.25,18,82
16,93,25.25,18,82
16,93,25.25,18,82
16,93,25.25,18,82
16,93,25.25,18,82
16,93,25.25,18,82
16,93,25.25,18,82
16,93,25.25,18,82
16,93,25.25,18,82
16,93,25.25,19,81
16,93,25.25,19,81
16,93,25.25,19,81
16,93,25.25,19,81
16,93,25.25,19,81
16,93,25.25,19,81
16,93,25.25,19,81
15,93,25.25,19,81
15,93,25.25,19,81
15,93,25.25,19,81
16,93,25.25,20,80
16,93,25.25,20,80
16,93,25.25,20,80
16,93,25.25,20,80
16,93,25.25,20,80
16,93,25.25,20,80
16,93,25.25,20,80
16,93,25.25,20,80
16,93,25.25,20,80
16,93,25.25,20,80
16,94,25.31,21,79
16,94,25.31,21,79
16,94,25.31,21,79
16,94,25.31,21,79
16,94,25.31,21,79
16,94,25.31,21,79
16,94,25.31,21,79
15,94,25.31,21,79
15,94,25.31,21,79
15,94,25.31,21,79
15,94,25.25,22,78
15,94,25.25,22,78
15,94,25.25,22,78
15,94,25.25,22,78
15,94,25.25,22,78
14,95,25.25,22,78
14,95,25.25,22,78
14,95,25.25,22,78
14,95,25.25,22,78
14,95,25.25,22,78
15,94,25.31,23,77
15,94,25.31,23,77
15,94,25.31,23,77
15,94,25.31,23,77
15,94,25.31,23,77
13,95,25.31,23,77
13,95,25.31,23,77
13,95,25.31,23,77
13,95,25.31,23,77
13,95,25.31,23,77
13,95,25.31,24,76
13,95,25.31,24,76
13,95,25.31,24,76
13,95,25.31,24,76
13,95,25.31,24,76
13,95,25.31,24,76
13,95,25.31,24,76
13,95,25.31,24,76
13,95,25.31,24,76
13,95,25.31,24,76
14,95,25.31,25,75
14,95,25.31,25,75
14,95,25.31,25,75
14,95,25.31,25,75
14,95,25.31,25,75
11,95,25.31,25,75
11,95,25.31,25,75
11,95,25.31,25,75
11,95,25.31,25,75
11,95,25.31,25,75
11,95,25.31,26,74
11,95,25.31,26,74
11,95,25.31,26,74
11,95,25.31,26,74
11,95,25.31,26,74
11,95,25.31,26,74
11,95,25.31,26,74
11,95,25.31,26,74
11,95,25.31,26,74
11,95,25.31,26,74
11,95,25.31,27,73
11,95,25.31,27,73
11,95,25.31,27,73
10,95,25.31,27,73
10,95,25.31,27,73
10,95,25.31,27,73
10,95,25.31,27,73
10,95,25.31,27,73
10,95,25.31,27,73
10,95,25.31,27,73
11,95,25.31,28,72
11,95,25.31,28,72
11,95,25.31,28,72
9,95,25.31,28,72
9,95,25.31,28,72
9,95,25.31,28,72
9,95,25.31,28,72
9,95,25.31,28,72
9,95,25.31,28,72
9,95,25.31,28,72
10,95,25.31,29,71
10,95,25.31,29,71
10,95,25.31,29,71
9,95,25.31,29,71
9,95,25.31,29,71
9,95,25.31,29,71
9,95,25.31,29,71
9,95,25.31,29,71
9,95,25.31,29,71
9,95,25.31,29,71
10,95,25.31,30,70
10,95,25.31,30,70
10,95,25.31,30,70
10,95,25.31,30,70
10,95,25.31,30,70
11,95,25.31,30,70
11,95,25.31,30,70
11,95,25.31,30,70
11,95,25.31,30,70
11,95,25.31,30,70
12,95,25.31,31,69
12,95,25.31,31,69
12,95,25.31,31,69
10,95,25.31,31,69
10,95,25.31,31,69
10,95,25.31,31,69
11,95,25.31,31,69
11,95,25.31,31,69
11,95,25.31,31,69
10,95,25.31,31,69
11,95,25.37,32,68
11,95,25.37,32,68
11,95,25.37,32,68
9,95,25.37,32,68
9,95,25.37,32,68
9,95,25.37,32,68
9,95,25.37,32,68
9,95,25.37,32,68
9,95,25.37,32,68
10,95,25.37,32,68
10,95,25.37,33,67
10,95,25.37,33,67
10,95,25.37,33,67
9,95,25.37,33,67
9,95,25.37,33,67
9,95,25.37,33,67
9,95,25.37,33,67
9,95,25.37,33,67
9,95,25.37,33,67
9,95,25.37,33,67
10,95,25.43,34,66
10,95,25.43,34,66
10,95,25.43,34,66
8,95,25.43,34,66
8,95,25.43,34,66
8,95,25.43,34,66
9,95,25.43,34,66
9,95,25.43,34,66
9,95,25.43,34,66
8,95,25.43,34,66
10,95,25.43,35,65
10,95,25.43,35,65
10,95,25.43,35,65
9,95,25.43,35,65
9,95,25.43,35,65
9,95,25.43,35,65
9,95,25.43,35,65
9,95,25.43,35,65
9,95,25.43,35,65
10,95,25.43,35,65
10,95,25.43,36,64
10,95,25.43,36,64
10,95,25.43,36,64
10,95,25.43,36,64
10,95,25.43,36,64
13,95,25.43,36,64
13,95,25.43,36,64
13,95,25.43,36,64
13,95,25.43,36,64
13,95,25.43,36,64
13,95,25.5,37,63
13,95,25.5,37,63
16,94,25.5,37,63
16,94,25.5,37,63
17,93,25.5,37,63
17,93,25.5,37,63
17,93,25.5,37,63
17,93,25.5,37,63
16,94,25.5,37,63
16,94,25.5,37,63
17,93,25.5,38,62
17,93,25.5,38,62
18,93,25.5,38,62
18,93,25.5,38,62
18,93,25.5,38,62
18,93,25.5,38,62
18,93,25.5,38,62
18,93,25.5,38,62
18,93,25.5,38,62
18,93,25.5,38,62
18,93,25.5,39,61
18,93,25.5,39,61
18,93,25.5,39,61
18,93,25.5,39,61
18,93,25.5,39,61
18,93,25.5,39,61
18,93,25.5,39,61
18,93,25.5,39,61
18,93,25.5,39,61
18,93,25.5,39,61
18,93,25.43,40,60
18,93,25.43,40,60
18,93,25.43,40,60
18,93,25.43,40,60
18,93,25.43,40,60
18,93,25.43,40,60
18,93,25.43,40,60
18,93,25.43,40,60
18,93,25.43,40,60
18,93,25.43,40,60
18,93,24.62,41,59
18,93,24.62,41,59
17,93,24.62,41,59
17,93,24.62,41,59
17,93,24.62,41,59
17,93,24.62,41,59
17,93,24.62,41,59
17,93,24.62,41,59
17,93,24.62,41,59
17,93,24.62,41,59
17,93,24.12,42,58
17,93,24.12,42,58
17,93,24.12,42,58
17,93,24.12,42,58
17,93,24.12,42,58
17,93,24.12,42,58
17,93,24.12,42,58
17,93,24.12,42,58
17,93,24.12,42,58
17,93,24.12,42,58
17,93,23.87,43,57
17,93,23.87,43,57
16,94,23.87,43,57
16,94,23.87,43,57
16,94,23.87,43,57
16,94,23.87,43,57
17,93,23.87,43,57
17,93,23.87,43,57
16,94,23.87,43,57
16,94,23.87,43,57
16,94,23.93,44,56
16,94,23.93,44,56
16,94,23.93,44,56
16,94,23.93,44,56
16,94,23.93,44,56
16,94,23.93,44,56
16,94,23.93,44,56
16,94,23.93,44,56
16,94,23.93,44,56
16,94,23.93,44,56
16,94,23.93,45,55
16,94,23.93,45,55
16,94,23.93,45,55
16,94,23.93,45,55
16,94,23.93,45,55
16,94,23.93,45,55
16,94,23.93,45,55
16,94,23.93,45,55
16,94,23.93,45,55
16,94,23.93,45,55
16,94,24,46,54
16,94,24,46,54
16,94,24,46,54
16,94,24,46,54
16,94,24,46,54
16,94,24,46,54
16,94,24,46,54
16,94,24,46,54
16,93,24,46,54
16,93,24,46,54
16,93,23.87,47,53
16,93,23.87,47,53
16,94,23.87,47,53
16,94,23.87,47,53
16,94,23.87,47,53
16,94,23.87,47,53
16,94,23.87,47,53
16,94,23.87,47,53
16,94,23.87,47,53
16,94,23.87,47,53
16,94,23.81,48,52
16,94,23.81,48,52
16,94,23.81,48,52
16,94,23.81,48,52
16,94,23.81,48,52
16,94,23.81,48,52
16,94,23.81,48,52
16,94,23.81,48,52
16,94,23.81,48,52
16,94,23.81,48,52
16,94,23.81,49,51
16,94,23.81,49,51
16,94,23.81,49,51
16,94,23.81,49,51
16,94,23.81,49,51
16,94,23.81,49,51
16,94,23.81,49,51
16,94,23.81,49,51
16,94,23.81,49,51
16,94,23.81,49,51
16,94,23.81,50,50
16,94,23.81,50,50
16,94,23.81,50,50
16,94,23.81,50,50
16,94,23.81,50,50
16,94,23.81,50,50
16,94,23.81,50,50
16,94,23.81,50,50
16,94,23.81,50,50
16,94,23.81,50,50
16,94,23.81,51,49
16,94,23.81,51,49
16,94,23.81,51,49
16,94,23.81,51,49
16,94,23.81,51,49
16,94,23.81,51,49
16,94,23.81,51,49
16,94,23.81,51,49
16,94,23.81,51,49
16,94,23.81,51,49
16,94,23.56,52,48
16,94,23.56,52,48
16,94,23.56,52,48
16,94,23.56,52,48
16,94,23.56,52,48
16,94,23.56,52,48
16,94,23.56,52,48
16,94,23.56,52,48
16,94,23.56,52,48
16,94,23.56,52,48
16,94,23.5,53,47
16,94,23.5,53,47
16,94,23.5,53,47
16,94,23.5,53,47
16,94,23.5,53,47
16,94,23.5,53,47
16,94,23.5,53,47
16,94,23.5,53,47
16,94,23.5,53,47
16,94,23.5,53,47
16,94,23.37,54,46
16,94,23.37,54,46
16,94,23.37,54,46
16,94,23.37,54,46
16,94,23.37,54,46
16,94,23.37,54,46
16,94,23.37,54,46
16,94,23.37,54,46
16,94,23.37,54,46
16,94,23.37,54,46
16,94,23.31,55,45
16,94,23.31,55,45
16,94,23.31,55,45
16,94,23.31,55,45
16,94,23.31,55,45
16,94,23.31,55,45
16,94,23.31,55,45
16,94,23.31,55,45
16,94,23.31,55,45
16,94,23.31,55,45
16,94,23.37,56,44
16,94,23.37,56,44
16,94,23.37,56,44
16,94,23.37,56,44
16,94,23.37,56,44
16,94,23.37,56,44
16,93,23.37,56,44
16,93,23.37,56,44
16,93,23.37,56,44
16,93,23.37,56,44
16,93,23.37,57,43
16,93,23.37,57,43
16,94,23.37,57,43
16,94,23.37,57,43
16,94,23.37,57,43
16,94,23.37,57,43
16,93,23.37,57,43
16,93,23.37,57,43
16,93,23.37,57,43
16,93,23.37,57,43
16,93,23.56,58,42
16,93,23.56,58,42
16,94,23.56,58,42
16,94,23.56,58,42
16,94,23.56,58,42
16,94,23.56,58,42
16,94,23.56,58,42
16,94,23.56,58,42
16,93,23.56,58,42
16,93,23.56,58,42
16,93,23.75,59,41
16,93,23.75,59,41
16,94,23.75,59,41
16,94,23.75,59,41
16,93,23.75,59,41
16,93,23.75,59,41
16,93,23.75,59,41
16,93,23.75,59,41
16,93,23.75,59,41
16,93,23.75,59,41
16,93,23.43,60,40
16,93,23.43,60,40
16,93,23.43,60,40
16,93,23.43,60,40
16,93,23.43,60,40
16,93,23.43,60,40
16,93,23.43,60,40
16,93,23.43,60,40
16,93,23.43,60,40
16,93,23.43,60,40
16,93,23.18,61,39
16,93,23.18,61,39
16,93,23.18,61,39
16,93,23.18,61,39
16,93,23.18,61,39
16,93,23.18,61,39
16,93,23.18,61,39
16,93,23.18,61,39
16,93,23.18,61,39
16,93,23.18,61,39
16,91,23.18,62,38
16,91,23.18,62,38
16,93,23.18,62,38
16,93,23.18,62,38
16,91,23.18,62,38
16,91,23.18,62,38
16,91,23.18,62,38
16,91,23.18,62,38
16,91,23.18,62,38
16,91,23.18,62,38
16,91,23.25,63,37
16,91,23.25,63,37
16,91,23.25,63,37
16,91,23.25,63,37
16,90,23.25,63,37
16,90,23.25,63,37
16,88,23.25,63,37
16,88,23.25,63,37
16,88,23.25,63,37
16,88,23.25,63,37
16,88,22.93,64,36
16,88,22.93,64,36
16,88,22.93,64,36
16,88,22.93,64,36
16,88,22.93,64,36
16,88,22.93,64,36
16,88,22.93,64,36
16,88,22.93,64,36
16,88,22.93,64,36
16,88,22.93,64,36
17,85,22.93,65,35
17,85,22.93,65,35
17,86,22.93,65,35
17,86,22.93,65,35
17,86,22.93,65,35
17,86,22.93,65,35
17,86,22.93,65,35
17,86,22.93,65,35
17,86,22.93,65,35
18,83,22.93,65,35
18,84,23,66,34
18,84,23,66,34
18,84,23,66,34
18,84,23,66,34
18,84,23,66,34
18,84,23,66,34
18,84,23,66,34
18,79,23,66,34
18,79,23,66,34
18,79,23,66,34
18,79,23.18,67,33
18,79,23.18,67,33
18,79,23.18,67,33
18,79,23.18,67,33
18,79,23.18,67,33
18,72,23.18,67,33
18,72,23.18,67,33
18,72,23.18,67,33
18,71,23.18,67,33
18,71,23.18,67,33
18,71,23,68,32
18,71,23,68,32
18,71,23,68,32
18,71,23,68,32
18,71,23,68,32
18,71,23,68,32
18,71,23,68,32
18,71,23,68,32
18,71,23,68,32
18,71,23,68,32
19,53,22.93,69,31
19,53,22.93,69,31
19,53,22.93,69,31
19,53,22.93,69,31
19,55,22.93,69,31
19,55,22.93,69,31
19,55,22.93,69,31
19,55,22.93,69,31
19,55,22.93,69,31
20,49,22.93,69,31
20,47,22.93,70,30
20,47,22.93,70,30
20,47,22.93,70,30
20,47,22.93,70,30
20,47,22.93,70,30
20,47,22.93,70,30
20,47,22.93,70,30
20,47,22.93,70,30
20,47,22.93,70,30
20,47,22.93,70,30
21,45,23.12,71,29
21,45,23.12,71,29
21,45,23.12,71,29
21,45,23.12,71,29
21,45,23.12,71,29
20,48,23.12,71,29
20,48,23.12,71,29
20,48,23.12,71,29
20,48,23.12,71,29
20,48,23.12,71,29
21,45,23,72,28
21,45,23,72,28
21,45,23,72,28
21,45,23,72,28
21,45,23,72,28
20,47,23,72,28
20,47,23,72,28
20,47,23,72,28
20,47,23,72,28
20,47,23,72,28
21,43,22.87,73,27
21,43,22.87,73,27
21,43,22.87,73,27
21,43,22.87,73,27
21,43,22.87,73,27
20,47,22.87,73,27
20,47,22.87,73,27
20,47,22.87,73,27
20,47,22.87,73,27
20,47,22.87,73,27
21,44,22.87,74,26
21,44,22.87,74,26
21,44,22.87,74,26
21,44,22.87,74,26
21,44,22.87,74,26
21,46,22.87,74,26
21,46,22.87,74,26
21,46,22.87,74,26
21,46,22.87,74,26
21,46,22.87,74,26
21,43,23.12,75,25
21,43,23.12,75,25
21,43,23.12,75,25
21,43,23.12,75,25
21,43,23.12,75,25
21,43,23.12,75,25
21,43,23.12,75,25
21,43,23.12,75,25
21,43,23.12,75,25
21,43,23.12,75,25
21,40,22.87,76,24
21,40,22.87,76,24
21,40,22.87,76,24
21,40,22.87,76,24
21,40,22.87,76,24
21,40,22.87,76,24
21,45,22.87,76,24
21,45,22.87,76,24
21,45,22.87,76,24
21,45,22.87,76,24
21,40,22.93,77,23
21,40,22.93,77,23
21,40,22.93,77,23
21,40,22.93,77,23
21,40,22.93,77,23
21,40,22.93,77,23
21,40,22.93,77,23
21,40,22.93,77,23
21,40,22.93,77,23
21,40,22.93,77,23
21,38,23,78,22
21,38,23,78,22
21,38,23,78,22
21,38,23,78,22
21,38,23,78,22
21,38,23,78,22
21,44,23,78,22
21,44,23,78,22
21,44,23,78,22
21,44,23,78,22
21,38,23.12,79,21
21,38,23.12,79,21
21,38,23.12,79,21
21,38,23.12,79,21
21,38,23.12,79,21
21,38,23.12,79,21
21,40,23.12,79,21
21,40,23.12,79,21
21,40,23.12,79,21
21,40,23.12,79,21
21,32,22.93,80,20
21,32,22.93,80,20
21,32,22.93,80,20
21,32,22.93,80,20
21,32,22.93,80,20
21,32,22.93,80,20
21,40,22.93,80,20
21,40,22.93,80,20
21,40,22.93,80,20
21,40,22.93,80,20
21,31,22.87,81,19
21,31,22.87,81,19
21,31,22.87,81,19
21,31,22.87,81,19
21,31,22.87,81,19
21,31,22.87,81,19
22,44,22.87,81,19
